Cas_Praha,Predicted_Funding_%,Premium_Index,Zmena_%,Pocet_dat,Okno,Ciel_Settlement
2025-06-14 20:21:00+02:00,0.0028615183246073275,-0.00047138481675392674,-0.00020971823453245532,382,3,22:00
2025-06-14 20:31:00+02:00,0.0027492346938775506,-0.0004725076530612245,-0.00011228363072977691,392,3,22:00
2025-06-14 20:41:00+02:00,0.0026703980099502473,-0.00047329601990049754,-7.883668392730334e-05,402,3,22:00
2025-06-14 20:51:00+02:00,0.0026524271844660164,-0.00047347572815533985,-1.797082548423085e-05,412,3,22:00
2025-06-14 21:01:00+02:00,0.002766587677725113,-0.0004723341232227489,0.00011416049325909663,422,3,22:00
2025-06-14 21:11:00+02:00,0.0028349537037037015,-0.000471650462962963,6.836602597858846e-05,432,3,22:00
2025-06-14 21:21:00+02:00,0.002756334841628956,-0.00047243665158371045,-7.861886207474571e-05,442,3,22:00
2025-06-14 21:31:00+02:00,0.002694469026548663,-0.0004730553097345134,-6.186581508029268e-05,452,3,22:00
2025-06-14 21:41:00+02:00,0.002599350649350651,-0.0004740064935064935,-9.511837719801191e-05,462,3,22:00
2025-06-14 21:51:00+02:00,0.002541101694915256,-0.00047458898305084745,-5.8248954435395194e-05,472,3,22:00
